trace,policy,page_size,frames,accesses,faults,hit_rate,replacements,swap_outs,swap_ins,segfaults,total_ms
secuencial,FIFO,4096,64,40000,2500,93.7500,2436,2431,1988,0,1.2299
secuencial,LRU,4096,64,40000,2500,93.7500,2436,2431,1988,0,1.1396
secuencial,CLOCK,4096,64,40000,2500,93.7500,2436,2431,1988,0,1.0849
secuencial,FIFO,4096,96,40000,2500,93.7500,2404,2399,1988,0,1.3911
secuencial,LRU,4096,96,40000,2500,93.7500,2404,2399,1988,0,1.1676
secuencial,CLOCK,4096,96,40000,2500,93.7500,2404,2399,1988,0,1.2126
secuencial,FIFO,4096,128,40000,2500,93.7500,2372,2368,1988,0,1.2512
secuencial,LRU,4096,128,40000,2500,93.7500,2372,2368,1988,0,1.1415
secuencial,CLOCK,4096,128,40000,2500,93.7500,2372,2368,1988,0,1.0630
secuencial,FIFO,4096,160,40000,2500,93.7500,2340,2336,1988,0,1.2237
secuencial,LRU,4096,160,40000,2500,93.7500,2340,2336,1988,0,1.1415
secuencial,CLOCK,4096,160,40000,2500,93.7500,2340,2336,1988,0,1.0811
secuencial,FIFO,4096,192,40000,2500,93.7500,2308,2304,1988,0,1.2664
secuencial,LRU,4096,192,40000,2500,93.7500,2308,2304,1988,0,1.1917
secuencial,CLOCK,4096,192,40000,2500,93.7500,2308,2304,1988,0,1.1058
secuencial,FIFO,4096,256,40000,2500,93.7500,2244,2241,1988,0,1.2502
secuencial,LRU,4096,256,40000,2500,93.7500,2244,2241,1988,0,1.1738
secuencial,CLOCK,4096,256,40000,2500,93.7500,2244,2241,1988,0,1.0860
secuencial,FIFO,4096,384,40000,2500,93.7500,2116,2113,1988,0,1.2596
secuencial,LRU,4096,384,40000,2500,93.7500,2116,2113,1988,0,1.1275
secuencial,CLOCK,4096,384,40000,2500,93.7500,2116,2113,1988,0,1.0670
secuencial,FIFO,4096,512,40000,512,98.7200,0,0,0,0,0.5417
secuencial,LRU,4096,512,40000,512,98.7200,0,0,0,0,0.5971
secuencial,CLOCK,4096,512,40000,512,98.7200,0,0,0,0,0.5413
aleatorio,FIFO,4096,64,40000,35048,12.3800,34984,11948,34536,0,7.8972
aleatorio,LRU,4096,64,40000,35066,12.3350,35002,11941,34554,0,8.3956
aleatorio,CLOCK,4096,64,40000,35060,12.3500,34996,11940,34548,0,8.1646
aleatorio,FIFO,4096,96,40000,32603,18.4925,32507,11675,32091,0,7.8323
aleatorio,LRU,4096,96,40000,32603,18.4925,32507,11619,32091,0,8.1540
aleatorio,CLOCK,4096,96,40000,32577,18.5575,32481,11639,32065,0,7.9505
aleatorio,FIFO,4096,128,40000,30074,24.8150,29946,11386,29562,0,7.3369
aleatorio,LRU,4096,128,40000,30070,24.8250,29942,11305,29558,0,7.9630
aleatorio,CLOCK,4096,128,40000,30058,24.8550,29930,11345,29546,0,7.5517
aleatorio,FIFO,4096,160,40000,27538,31.1550,27378,11050,27026,0,6.7485
aleatorio,LRU,4096,160,40000,27492,31.2700,27332,10917,26980,0,7.3647
aleatorio,CLOCK,4096,160,40000,27565,31.0875,27405,11008,27053,0,7.1349
aleatorio,FIFO,4096,192,40000,25108,37.2300,24916,10706,24596,0,6.3102
aleatorio,LRU,4096,192,40000,25029,37.4275,24837,10484,24517,0,6.9124
aleatorio,CLOCK,4096,192,40000,25040,37.4000,24848,10591,24528,0,6.6511
aleatorio,FIFO,4096,256,40000,19941,50.1475,19685,9850,19429,0,5.4708
aleatorio,LRU,4096,256,40000,20093,49.7675,19837,9493,19581,0,6.0288
aleatorio,CLOCK,4096,256,40000,20115,49.7125,19859,9637,19603,0,6.1832
aleatorio,FIFO,4096,384,40000,10193,74.5175,9809,7164,9681,0,3.4606
aleatorio,LRU,4096,384,40000,10128,74.6800,9744,6370,9616,0,3.9734
aleatorio,CLOCK,4096,384,40000,10091,74.7725,9707,6596,9579,0,3.5248
aleatorio,FIFO,4096,512,40000,512,98.7200,0,0,0,0,0.5375
aleatorio,LRU,4096,512,40000,512,98.7200,0,0,0,0,0.5721
aleatorio,CLOCK,4096,512,40000,512,98.7200,0,0,0,0,0.5302
localidad,FIFO,4096,64,100000,32469,67.5310,32405,14699,31445,0,11.2455
localidad,LRU,4096,64,100000,30048,69.9520,29984,12763,29024,0,9.8233
localidad,CLOCK,4096,64,100000,30495,69.5050,30431,13014,29471,0,9.3607
localidad,FIFO,4096,96,100000,25277,74.7230,25181,12831,24253,0,9.4955
localidad,LRU,4096,96,100000,21872,78.1280,21776,10741,20848,0,8.6430
localidad,CLOCK,4096,96,100000,22965,77.0350,22869,11305,21941,0,8.8120
localidad,FIFO,4096,128,100000,20560,79.4400,20432,11367,19536,0,8.5017
localidad,LRU,4096,128,100000,15749,84.2510,15621,8337,14725,0,6.4716
localidad,CLOCK,4096,128,100000,17330,82.6700,17202,9292,16306,0,7.9561
localidad,FIFO,4096,160,100000,17257,82.7430,17097,10009,16233,0,6.7919
localidad,LRU,4096,160,100000,11962,88.0380,11802,6206,10938,0,6.3720
localidad,CLOCK,4096,160,100000,13460,86.5400,13300,7286,12436,0,5.7658
localidad,FIFO,4096,192,100000,14966,85.0340,14774,8832,13942,0,5.6921
localidad,LRU,4096,192,100000,10396,89.6040,10204,5241,9372,0,5.5455
localidad,CLOCK,4096,192,100000,11276,88.7240,11084,5967,10252,0,5.2184
localidad,FIFO,4096,256,100000,12004,87.9960,11748,7122,10980,0,5.4218
localidad,LRU,4096,256,100000,9237,90.7630,8981,4771,8213,0,4.8145
localidad,CLOCK,4096,256,100000,9527,90.4730,9271,5012,8503,0,4.9519
localidad,FIFO,4096,384,100000,8701,91.2990,8317,5123,7677,0,4.9069
localidad,LRU,4096,384,100000,7750,92.2500,7366,4275,6726,0,4.1579
localidad,CLOCK,4096,384,100000,7810,92.1900,7426,4359,6786,0,4.1714
localidad,FIFO,4096,512,100000,6728,93.2720,6216,4313,5704,0,4.2746
localidad,LRU,4096,512,100000,6288,93.7120,5776,3682,5264,0,3.9952
localidad,CLOCK,4096,512,100000,6264,93.7360,5752,3804,5240,0,3.1456
matrices,FIFO,4096,64,150000,52566,64.9560,52502,17832,52279,0,12.1310
matrices,LRU,4096,64,150000,51766,65.4893,51702,17031,51479,0,12.9581
matrices,CLOCK,4096,64,150000,51766,65.4893,51702,17032,51479,0,12.2577
matrices,FIFO,4096,96,150000,52301,65.1327,52205,17553,52014,0,11.7468
matrices,LRU,4096,96,150000,50031,66.6460,49935,15289,49744,0,11.3567
matrices,CLOCK,4096,96,150000,51549,65.6340,51453,16802,51262,0,11.8709
matrices,FIFO,4096,128,150000,1554,98.9640,1426,1426,1267,0,2.3735
matrices,LRU,4096,128,150000,1503,98.9980,1375,1375,1216,0,2.4349
matrices,CLOCK,4096,128,150000,1613,98.9247,1485,1485,1326,0,2.2996
matrices,FIFO,4096,160,150000,1528,98.9813,1368,1368,1241,0,4.3596
matrices,LRU,4096,160,150000,1503,98.9980,1343,1343,1216,0,3.6039
matrices,CLOCK,4096,160,150000,1512,98.9920,1352,1352,1225,0,2.2377
matrices,FIFO,4096,192,150000,1520,98.9867,1328,1328,1233,0,2.3054
matrices,LRU,4096,192,150000,1503,98.9980,1311,1311,1216,0,2.3792
matrices,CLOCK,4096,192,150000,1505,98.9967,1313,1313,1218,0,2.2290
matrices,FIFO,4096,256,150000,1511,98.9927,1255,1255,1224,0,2.2772
matrices,LRU,4096,256,150000,1503,98.9980,1247,1247,1216,0,2.3412
matrices,CLOCK,4096,256,150000,1333,99.1113,1077,1077,1046,0,2.1395
matrices,FIFO,4096,384,150000,287,99.8087,0,0,0,0,1.8429
matrices,LRU,4096,384,150000,287,99.8087,0,0,0,0,1.9394
matrices,CLOCK,4096,384,150000,287,99.8087,0,0,0,0,1.8331
matrices,FIFO,4096,512,150000,287,99.8087,0,0,0,0,1.8607
matrices,LRU,4096,512,150000,287,99.8087,0,0,0,0,2.0243
matrices,CLOCK,4096,512,150000,287,99.8087,0,0,0,0,2.1465
