trace,policy,page_size,frames,accesses,faults,hit_rate,replacements,swap_outs,swap_ins,segfaults,total_ms
localidad,FIFO,4096,256,100000,12004,87.9960,11748,7122,10980,0,4.9635
localidad,LRU,4096,256,100000,9237,90.7630,8981,4771,8213,0,4.2842
localidad,CLOCK,4096,256,100000,9527,90.4730,9271,5012,8503,0,3.9889
localidad,FIFO,8192,128,100000,11879,88.1210,11751,7135,11367,0,6.9855
localidad,LRU,8192,128,100000,8367,91.6330,8239,3881,7855,0,6.1277
localidad,CLOCK,8192,128,100000,8697,91.3030,8569,4181,8185,0,5.9184
localidad,FIFO,16384,64,100000,11739,88.2610,11675,7036,11483,0,15.5160
localidad,LRU,16384,64,100000,7952,92.0480,7888,3480,7696,0,12.3238
localidad,CLOCK,16384,64,100000,8262,91.7380,8198,3778,8006,0,12.0898
localidad,FIFO,32768,32,100000,11816,88.1840,11784,7136,11688,0,33.4545
localidad,LRU,32768,32,100000,7843,92.1570,7811,3322,7715,0,21.1269
localidad,CLOCK,32768,32,100000,8264,91.7360,8232,3753,8136,0,22.7316
localidad,FIFO,65536,16,100000,11956,88.0440,11940,7293,11892,0,82.3739
localidad,LRU,65536,16,100000,7785,92.2150,7769,3298,7721,0,42.4155
localidad,CLOCK,65536,16,100000,8462,91.5380,8446,3959,8398,0,47.0485
